"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Exclude from Simulation","Exclude from Position Files","Footprint","Datasheet"
"BT1","1","Battery","","","","","${EXCLUDE_FROM_POS_FILES}","TerminalBlock:TerminalBlock_Xinya_XY308-2.54-7P_1x07_P2.54mm_Horizontal",""
"C1","1","470uF","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm",""
"C2","1","0.01uF","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm",""
"C3","1","47uF","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"C4","1","0.2uF","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm",""
"D1","1","D","","","","","${EXCLUDE_FROM_POS_FILES}","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal",""
"D2","1","LED","","","","","${EXCLUDE_FROM_POS_FILES}","TerminalBlock:TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal",""
"D3","1","LED","","","","","${EXCLUDE_FROM_POS_FILES}","LED_THT:LED_D5.0mm",""
"Q1,Q2","2","IRLZ24","","","","","${EXCLUDE_FROM_POS_FILES}","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.vishay.com/docs/91326/sihlz24.pdf"
"R3","1","R","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"R4,R5","2","22K","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"R6,R9","2","1K","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"R7,R8","2","22R","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"T2","1","Transformer_SP_1S","","","","","${EXCLUDE_FROM_POS_FILES}","TerminalBlock:TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal",""
"U1","1","IR2153","","","","","${EXCLUDE_FROM_POS_FILES}","Package_DIP:DIP-8_W7.62mm","https://www.infineon.com/dgdl/ir2153.pdf?fileId=5546d462533600a4015355c8c5fc16af"
